player_id,appearances,starts_estimated,goals,assists,shots,yellow_cards,red_cards,pace,shooting,passing,defending,physical,rating_source
20260038,1,0,0,0,0,1,0,60,39,54,62,58,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20250073,0,0,0,0,0,0,0,60,39,54,62,63,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20220341,0,0,0,0,0,0,0,60,39,54,62,60,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20260317,0,0,0,0,0,0,0,60,39,54,62,59,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20100014,0,0,0,0,0,0,0,56,39,54,62,58,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20160113,9,1,0,1,4,0,0,65,61,57,44,60,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20160098,15,15,5,3,31,3,0,67,81,65,45,57,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20220063,0,0,0,0,0,0,0,64,60,52,42,58,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20170164,15,15,2,3,28,3,0,67,72,65,45,60,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20210116,10,4,1,0,11,1,0,67,65,55,44,60,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20250091,0,0,0,0,0,0,0,64,60,52,42,55,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20260043,15,1,6,0,19,2,0,66,82,56,44,60,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20250070,0,0,0,0,0,0,0,64,60,52,42,56,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20260036,0,0,0,0,0,0,0,64,60,52,42,55,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20250075,2,0,0,0,0,0,0,63,60,53,42,57,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20250307,0,0,0,0,0,0,0,64,60,52,42,55,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20260037,0,0,0,0,0,0,0,64,60,52,42,55,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20240294,0,0,0,0,0,0,0,64,60,52,42,57,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20180057,11,9,1,2,11,1,0,66,65,61,44,58,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20260042,0,0,0,0,0,0,0,64,60,52,42,55,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20240099,0,0,0,0,0,0,0,47,19,54,62,61,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20250220,0,0,0,0,0,0,0,47,19,54,62,62,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20130134,15,15,0,0,0,0,0,50,19,59,73,64,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20230068,0,0,0,0,0,0,0,47,19,54,62,63,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20250305,0,0,0,0,0,0,0,47,19,54,62,61,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20210192,6,1,0,1,2,1,0,62,49,68,56,55,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20200066,14,13,0,1,9,2,0,64,51,74,59,55,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20180235,6,2,0,0,2,0,0,62,49,65,56,56,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20260041,0,0,0,0,0,0,0,62,49,62,54,51,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20260301,0,0,0,0,0,0,0,62,49,62,54,52,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20250071,0,0,0,0,0,0,0,62,49,62,54,54,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20200077,15,12,0,1,5,2,0,64,50,74,59,58,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20260039,0,0,0,0,0,0,0,62,49,62,54,57,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20240128,0,0,0,0,0,0,0,62,49,62,54,55,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20230067,8,2,0,0,1,0,0,64,49,66,57,55,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20260130,0,0,0,0,0,0,0,62,49,62,54,51,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20170182,13,12,1,0,19,5,0,64,55,70,58,57,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20220064,0,0,0,0,0,0,0,62,49,62,54,53,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20250072,0,0,0,0,0,0,0,62,49,62,54,53,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20250015,8,6,0,0,2,1,0,62,39,57,67,58,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20180215,7,6,0,0,1,0,0,60,39,57,67,58,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20260026,8,8,0,0,2,0,0,62,39,57,68,62,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20200146,12,11,0,0,12,2,1,61,41,59,69,63,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20060066,9,7,0,0,1,1,0,58,39,57,68,60,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20210182,14,14,0,1,7,3,0,62,40,62,72,60,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20150253,9,0,0,0,3,0,0,58,39,57,67,57,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20260027,0,0,0,0,0,0,0,60,39,54,62,60,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20250021,4,2,0,0,0,1,0,61,39,55,64,58,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20150067,11,10,0,0,1,2,1,61,39,58,68,62,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20180056,0,0,0,0,0,0,0,58,39,54,62,61,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20260025,0,0,0,0,0,0,0,60,39,54,62,57,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20240233,1,0,0,0,0,0,0,60,39,54,63,61,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20250017,7,6,0,0,0,3,0,62,39,57,66,61,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20260023,8,4,0,0,2,1,0,66,60,55,43,56,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20130410,1,1,0,0,0,0,0,60,60,52,42,57,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20250019,0,0,0,0,0,0,0,64,60,52,42,55,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20230089,1,0,0,0,0,0,0,64,60,52,42,56,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20200043,6,2,0,0,8,0,0,64,62,54,43,59,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20210161,15,14,7,0,23,3,0,67,85,57,45,63,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20200030,1,0,0,0,0,0,0,62,60,52,42,58,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20230225,4,3,0,1,3,0,0,63,61,56,43,61,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20250022,7,3,2,1,4,1,0,66,67,57,43,61,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20230148,13,6,2,1,12,3,0,66,68,59,44,57,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20260021,11,4,1,1,6,2,0,65,64,58,44,61,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20240061,0,0,0,0,0,0,0,47,19,54,62,62,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20240298,0,0,0,0,0,0,0,47,19,54,62,61,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20130151,0,0,0,0,0,0,0,47,19,54,62,62,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20220160,0,0,0,0,0,0,0,47,19,54,62,61,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20240277,0,0,0,0,0,0,0,47,19,54,62,60,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20160079,15,15,0,0,0,1,0,50,19,59,73,63,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20060073,12,6,0,1,5,0,0,61,50,72,58,58,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20240063,14,8,0,0,7,1,0,66,50,70,59,57,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20260022,0,0,0,0,0,0,0,62,49,62,54,52,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20230159,12,7,0,0,3,1,0,63,50,69,58,55,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20260024,12,9,0,0,5,1,0,64,50,69,58,55,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
